Designator,Mid X,Mid Y,Side,Rot
C_puff1,183.375,-93.472,top,180
C_puff2,106.807,-74.549,top,90
D1,153.035,-70.993,top,90
D2,148.209,-70.993,top,90
J1,170.434,-103.632,top,0
J5,129.3368,-63.3222,top,0
J6,134.1628,-63.3222,top,0
J7,129.032,-142.479,top,180
J8,178.435,-104.394,top,0
J9,138.684,-63.373,top,0
J10,148.336,-138.933,top,0
J11,133.604,-142.479,top,180
J12,111.379,-72.898,top,90
J13,138.699,-137.414,top,90
J14,160.401,-75.311,top,90
J15,108.458,-128.778,top,90
J16,170.434,-82.042,top,0
Module1,160.636,-82.302,top,0
Module1,160.636,-82.302,top,0
R1,152.908,-66.0635,top,90
R2,148.209,-65.8095,top,90
REF**,172.2,-130.6,top,0
REF**,110.8,-79.2,top,0
U1,149.86,-60.706,top,0
